id,name
p_iva10nd_ic_bc,account_tax_template_p_iva10nd_ic_bc
p_iva10nd_ic_bi,account_tax_template_p_iva10nd_ic_bi
p_iva10nd_sp_in,account_tax_template_p_iva10nd_sp_in
p_iva21nd_ic_bc,account_tax_template_p_iva21nd_ic_bc
p_iva21nd_ic_bi,account_tax_template_p_iva21nd_ic_bi
p_iva21nd_sp_in,account_tax_template_p_iva21nd_sp_in
p_iva4nd_ic_bc,account_tax_template_p_iva4nd_ic_bc
p_iva4nd_ic_bi,account_tax_template_p_iva4nd_ic_bi
p_iva4nd_sp_in,account_tax_template_p_iva4nd_sp_in
s_igf21_r134a,account_tax_template_s_igf21_r134a
s_igf21_r134a_regen,account_tax_template_s_igf21_r134a_regen
s_igf21_r32,account_tax_template_s_igf21_r32
s_igf21_r404a,account_tax_template_s_igf21_r404a
s_igf21_r407c,account_tax_template_s_igf21_r407c
s_igf21_r410a,account_tax_template_s_igf21_r410a
s_igf21_r422a,account_tax_template_s_igf21_r422a
s_igf21_r422d,account_tax_template_s_igf21_r422d
s_igf21_r438a,account_tax_template_s_igf21_r438a
s_igf21_r449a,account_tax_template_s_igf21_r449a
s_igf21_r452a,account_tax_template_s_igf21_r452a
p_iva4_nd,account_tax_template_p_iva4_nd
p_iva4_nd_bc,account_tax_template_p_iva4_nd_bc
p_iva4_nd_bi,account_tax_template_p_iva4_nd_bi
p_iva5_nd,account_tax_template_p_iva5_nd
p_iva10_nd,account_tax_template_p_iva10_nd
p_iva10_nd_bc,account_tax_template_p_iva10_nd_bc
p_iva10_nd_bi,account_tax_template_p_iva10_nd_bi
p_iva0_nd,account_tax_template_p_iva0_nd
p_iva0_nd_bc,account_tax_template_p_iva0_nd_bc
p_iva0_nd_bi,account_tax_template_p_iva0_nd_bi
p_dua_exempt,account_tax_template_p_dua_exempt
s_iva0_sdd,account_tax_template_s_iva0_sdd
