"id","sequence","name","name@es","name@ca","auto_apply","vat_required","country_id","country_group_id","tax_ids/tax_src_id","tax_ids/tax_dest_id","account_ids/account_src_id","account_ids/account_dest_id"
"fp_rege","","Business Group Regime REGE","Régimen Grupo de Empresas REGE","","","","","","","","",""
"oxigen_fp_extra","","Oxigen Extra-community / Canarias, Ceuta y Melilla","Oxigen Régimen Extracomunitario / Canarias, Ceuta y Melilla","","","","","","account_tax_template_p_iva4_nd","account_tax_template_p_iva0_ns","",""
"","","","","","","","","","account_tax_template_p_iva4_nd_bc","account_tax_template_p_iva0_ns_b","",""
"","","","","","","","","","account_tax_template_p_iva4_nd_bi","account_tax_template_p_iva0_ns_b","",""
"","","","","","","","","","account_tax_template_p_iva10_nd","account_tax_template_p_iva0_ns","",""
"","","","","","","","","","account_tax_template_p_iva10_nd_bc","account_tax_template_p_iva0_ns_b","",""
"","","","","","","","","","account_tax_template_p_iva10_nd_bi","account_tax_template_p_iva0_ns_b","",""
"","","","","","","","","","account_tax_template_p_iva0_nd","account_tax_template_p_iva0_ns","",""
"","","","","","","","","","account_tax_template_p_iva0_nd_bc","account_tax_template_p_iva0_ns_b","",""
"","","","","","","","","","account_tax_template_p_iva0_nd_bi","account_tax_template_p_iva0_ns_b","",""
"","","","","","","","","","account_tax_template_p_priva4_sc","account_tax_template_p_iva0_ns","",""
"","","","","","","","","","account_tax_template_p_priva4_bc","account_tax_template_p_iva0_ns_b","",""
"","","","","","","","","","account_tax_template_p_priva4_bi","account_tax_template_p_iva0_ns_b","",""
"","","","","","","","","","account_tax_template_p_priva10_sc","account_tax_template_p_iva0_ns","",""
"","","","","","","","","","account_tax_template_p_priva10_bc","account_tax_template_p_iva0_ns_b","",""
"","","","","","","","","","account_tax_template_p_priva10_bi","account_tax_template_p_iva0_ns_b","",""
"","","","","","","","","","account_tax_template_p_priva21_sc","account_tax_template_p_iva0_ns","",""
"","","","","","","","","","account_tax_template_p_priva21_bc","account_tax_template_p_iva0_ns_b","",""
"","","","","","","","","","account_tax_template_p_priva21_bi","account_tax_template_p_iva0_ns_b","",""
"","","","","","","","","","account_tax_template_p_iva4_bc","account_tax_template_p_iva0_ns_b","",""
"","","","","","","","","","account_tax_template_p_iva4_sc","account_tax_template_p_iva0_ns","",""
"","","","","","","","","","account_tax_template_p_iva4_bi","account_tax_template_p_iva0_ns_b","",""
"","","","","","","","","","account_tax_template_p_iva10_bc","account_tax_template_p_iva0_ns_b","",""
"","","","","","","","","","account_tax_template_p_iva10_sc","account_tax_template_p_iva0_ns","",""
"","","","","","","","","","account_tax_template_p_iva10_bi","account_tax_template_p_iva0_ns_b","",""
"","","","","","","","","","account_tax_template_p_iva21_bc","account_tax_template_p_iva0_ns_b","",""
"","","","","","","","","","account_tax_template_p_iva21_sc","account_tax_template_p_iva0_ns","",""
"","","","","","","","","","account_tax_template_p_iva21_bi","account_tax_template_p_iva0_ns_b","",""
"","","","","","","","","","account_tax_template_s_iva4b","account_tax_template_s_iva_ns_b","",""
"","","","","","","","","","account_tax_template_s_iva4s","account_tax_template_s_iva_ns","",""
"","","","","","","","","","account_tax_template_s_iva10b","account_tax_template_s_iva_ns_b","",""
"","","","","","","","","","account_tax_template_s_iva10s","account_tax_template_s_iva_ns","",""
"","","","","","","","","","account_tax_template_s_iva21b","account_tax_template_s_iva_ns_b","",""
"","","","","","","","","","account_tax_template_s_iva21s","account_tax_template_s_iva_ns","",""
"","","","","","","","","","account_tax_template_s_iva0_isp","account_tax_template_s_iva_ns_b","",""
"","","","","","","","","","","","account_common_7000","account_common_7002"
"","","","","","","","","","","","account_common_7010","account_common_7012"
"","","","","","","","","","","","account_common_7020","account_common_7022"
"","","","","","","","","","","","account_common_7030","account_common_7032"
"","","","","","","","","","","","account_common_7040","account_common_7042"
"","","","","","","","","","","","account_common_7050","account_common_7052"
