"id","sequence","active","description","invoice_label","type_tax_use","name","name@es","name@ca","description@es","description@ca","amount","amount_type","tax_group_id","analytic","l10n_es_type","l10n_es_exempt_reason","l10n_es_bien_inversion","tax_scope","include_base_amount","repartition_line_ids/repartition_type","repartition_line_ids/tag_ids","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/factor_percent","invoice_label@es","children_tax_ids","price_include_override"
"account_tax_template_p_iva4nd_ic_bi","","True","VAT 4% not deductible (intra-community investment goods)","","purchase","4% ND EU IG","4% ND UE BI","4% ND UE BI","4% IVA no deducible (bienes de inversión intracomunitarios)","4% IVA no deduïble (béns d'inversió intracomunitaris)","4","percent","tax_group_iva_4","","","","","","","base","+mod303[10]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","-mod303[11]","invoice","account_common_477","-100","","",""
"","","","","","","","","","","","","","","","","","","","","base","+mod303[14_purchase]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","+mod303[15]","refund","account_common_477","-100","","",""
"account_tax_template_p_iva4nd_ic_bc","","True","VAT 4% not deductible (intra-community goods)","","purchase","4% ND EU G","4% ND UE B","4% ND UE B","4% IVA no deducible (bienes corrientes intracomunitarios)","4% IVA no deduïble (béns corrents intracomunitaris)","4","percent","tax_group_iva_4","","","","","","","base","+mod303[10]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","-mod303[11]","invoice","account_common_477","-100","","",""
"","","","","","","","","","","","","","","","","","","","","base","+mod303[14_purchase]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","+mod303[15]","refund","account_common_477","-100","","",""
"account_tax_template_p_iva4nd_sp_in","","True","VAT 4% not deductible (intra-community services)","","purchase","4% ND EU S","4% ND UE S","4% ND UE S","4% IVA no deducible (servicios intracomunitarios)","4% IVA no deduïble (serveis intracomunitaris)","4","percent","tax_group_iva_4","","","","","","","base","+mod303[10]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","-mod303[11]","invoice","account_common_477","-100","","",""
"","","","","","","","","","","","","","","","","","","","","base","+mod303[14_purchase]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","+mod303[15]","refund","account_common_477","-100","","",""
"account_tax_template_p_iva10nd_ic_bi","","True","VAT 10% not deductible (intra-community investment goods)","","purchase","10% ND EU IG","10% ND UE BI","10% ND UE BI","10% IVA no deducible (bienes de inversión intracomunitarios)","10% IVA no deduïble (béns d'inversió intracomunitaris)","10","percent","tax_group_iva_10","","","","","","","base","+mod303[10]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","-mod303[11]","invoice","account_common_477","-100","","",""
"","","","","","","","","","","","","","","","","","","","","base","+mod303[14_purchase]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","+mod303[15]","refund","account_common_477","-100","","",""
"account_tax_template_p_iva10nd_ic_bc","","True","VAT 10% not deductible (intra-community goods)","","purchase","10% ND EU G","10% ND UE B","10% ND UE B","10% IVA no deducible (bienes corrientes intracomunitarios)","10% IVA no deduïble (béns corrents intracomunitaris)","10","percent","tax_group_iva_10","","","","","","","base","+mod303[10]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","-mod303[11]","invoice","account_common_477","-100","","",""
"","","","","","","","","","","","","","","","","","","","","base","+mod303[14_purchase]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","+mod303[15]","refund","account_common_477","-100","","",""
"account_tax_template_p_iva10nd_sp_in","","True","VAT 10% not deductible (intra-community services)","","purchase","10% ND EU S","10% ND UE S","10% ND UE S","10% IVA no deducible (servicios intracomunitarios)","10% IVA no deduïble (serveis intracomunitaris)","10","percent","tax_group_iva_10","","","","","","","base","+mod303[10]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","-mod303[11]","invoice","account_common_477","-100","","",""
"","","","","","","","","","","","","","","","","","","","","base","+mod303[14_purchase]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","+mod303[15]","refund","account_common_477","-100","","",""
"account_tax_template_p_iva21nd_ic_bi","","True","VAT 21% not deductible (intra-community investment goods)","","purchase","21% ND EU IG","21% ND UE BI","21% ND UE BI","21% IVA no deducible (bienes de inversión intracomunitarios)","21% IVA no deduïble (béns d'inversió intracomunitaris)","21","percent","tax_group_iva_21","","","","","","","base","+mod303[10]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","-mod303[11]","invoice","account_common_477","-100","","",""
"","","","","","","","","","","","","","","","","","","","","base","+mod303[14_purchase]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","+mod303[15]","refund","account_common_477","-100","","",""
"account_tax_template_p_iva21nd_ic_bc","","True","VAT 21% not deductible (intra-community goods)","","purchase","21% ND EU G","21% ND UE B","21% ND UE B","21% IVA no deducible (bienes corrientes intracomunitarios)","21% IVA no deduïble (béns corrents intracomunitaris)","21","percent","tax_group_iva_21","","","","","","","base","+mod303[10]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","-mod303[11]","invoice","account_common_477","-100","","",""
"","","","","","","","","","","","","","","","","","","","","base","+mod303[14_purchase]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","+mod303[15]","refund","account_common_477","-100","","",""
"account_tax_template_p_iva21nd_sp_in","","True","VAT 21% not deductible (intra-community services)","","purchase","21% ND EU S","21% ND UE S","21% ND UE S","21% IVA no deducible (servicios intracomunitarios)","21% IVA no deduïble (serveis intracomunitaris)","21","percent","tax_group_iva_21","","","","","","","base","+mod303[10]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","-mod303[11]","invoice","account_common_477","-100","","",""
"","","","","","","","","","","","","","","","","","","","","base","+mod303[14_purchase]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","+mod303[15]","refund","account_common_477","-100","","",""
"account_tax_template_s_igf0","","True","Fluorinated gases tax. Exempt","","sale","IGF Exempt","IGF Exento","IGF Exempt","Impuesto sobre gases fluorados. Exento","Impost sobre gasos fluorats. Exempt","0","fixed","tax_group_gases_refrigerantes","","","","","","","base","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_igf","","","",""
"","","","","","","","","","","","","","","","","","","","","base","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","refund","account_common_igf","","","",""
"account_tax_template_p_igf0","","True","Fluorinated gases tax. Exempt","","purchase","IGF Exempt","IGF Exento","IGF Exempt","Impuesto sobre gases fluorados. Exento","Impost sobre gasos fluorats. Exempt","0","fixed","tax_group_gases_refrigerantes","","","","","","","base","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_igf","","","",""
"","","","","","","","","","","","","","","","","","","","","base","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","refund","account_common_igf","","","",""
"account_tax_template_s_igf21_r134a_1","","True","Fluorinated gases tax. R134A gas. Fixed part","","sale","IGF R134A FP","IGF R134A PF","IGF R134A PF","Impuesto sobre gases fluorados. Gas R134A. Parte fija","Impost sobre gasos fluorats. Gas R134A. Part fixa","21.45","fixed","tax_group_gases_refrigerantes","","","","","","True","base","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_igf","","","",""
"","","","","","","","","","","","","","","","","","","","","base","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","refund","account_common_igf","","","",""
