id,apply_to_asset
account_tax_template_p_iva4nd_ic_bi,always
account_tax_template_p_iva4nd_ic_bc,always
account_tax_template_p_iva4nd_sp_in,never
account_tax_template_p_iva10nd_ic_bi,always
account_tax_template_p_iva10nd_ic_bc,always
account_tax_template_p_iva10nd_sp_in,never
account_tax_template_p_iva21nd_ic_bi,always
account_tax_template_p_iva21nd_ic_bc,always
account_tax_template_p_iva21nd_sp_in,never
account_tax_template_p_igf0,ignore
account_tax_template_p_iva4_nd_bc,always
account_tax_template_p_iva4_nd_bi,always
account_tax_template_p_iva10_nd_bc,always
account_tax_template_p_iva10_nd_bi,always
account_tax_template_p_iva0_nd_bc,always
account_tax_template_p_iva0_nd_bi,always
account_tax_template_p_iva5_nd,never
